"","FIPS","Area","STATE","IS_D","tmp","prec","POPULATION","ST_AAP_TOT_TOT","ST_POPULATION","ST_GR_INCOME_PC"
"71","06067","Sacramento, CA","CALIFORNIA",0,60.5083333333333,1.44916666666667,1436671,56038.5046348172,37650514,2.74378427635196
"72","06069","San Benito, CA","CALIFORNIA",0,57.6333333333333,1.45083333333333,56140,56038.5046348172,37650514,2.74378427635196
"73","06075","San Francisco, CA","CALIFORNIA",0,56.1416666666667,1.76333333333333,816054,56038.5046348172,37650514,2.74378427635196
"74","06077","San Joaquin, CA","CALIFORNIA",0,60.4,0.9675,695611,56038.5046348172,37650514,2.74378427635196
"75","06083","Santa Barbara, CA","CALIFORNIA",0,57.6,1.36333333333333,425775,56038.5046348172,37650514,2.74378427635196
"76","06087","Santa Cruz, CA","CALIFORNIA",0,56.1916666666667,2.37166666666667,264968,56038.5046348172,37650514,2.74378427635196
"77","06089","Shasta, CA","CALIFORNIA",0,53.8416666666667,2.96416666666667,177950,56038.5046348172,37650514,2.74378427635196
"78","06093","Siskiyou, CA","CALIFORNIA",0,47.575,2.58666666666667,44709,56038.5046348172,37650514,2.74378427635196
"79","06095","Solano, CA","CALIFORNIA",0,59.5083333333333,1.43,417025,56038.5046348172,37650514,2.74378427635196
"80","06097","Sonoma, CA","CALIFORNIA",0,55.9166666666667,2.7375,487034,56038.5046348172,37650514,2.74378427635196
"81","06099","Stanislaus, CA","CALIFORNIA",0,59.9333333333333,0.990833333333333,517797,56038.5046348172,37650514,2.74378427635196
"82","06101","Sutter, CA","CALIFORNIA",0,61.275,1.51416666666667,94827,56038.5046348172,37650514,2.74378427635196
"83","06103","Tehama, CA","CALIFORNIA",0,57.2333333333333,2.465,63468,56038.5046348172,37650514,2.74378427635196
"84","06105","Trinity, CA","CALIFORNIA",0,51.1916666666667,3.8975,14152,56038.5046348172,37650514,2.74378427635196
"85","06107","Tulare, CA","CALIFORNIA",0,53.2416666666667,1.495,447277,56038.5046348172,37650514,2.74378427635196
"86","06109","Tuolumne, CA","CALIFORNIA",0,48.4916666666667,3.24333333333333,54928,56038.5046348172,37650514,2.74378427635196
"87","06111","Ventura, CA","CALIFORNIA",0,56.975,1.37666666666667,830061,56038.5046348172,37650514,2.74378427635196
"88","06113","Yolo, CA","CALIFORNIA",0,60.4666666666667,1.57666666666667,201533,56038.5046348172,37650514,2.74378427635196
"89","08001","Adams, CO*","COLORADO",0,49.3333333333333,1.41083333333333,452215,49996.9440766018,5119188,4.38942742903645
"90","08003","Alamosa, CO","COLORADO",0,43.2583333333333,0.655833333333333,15735,49996.9440766018,5119188,4.38942742903645
"91","08005","Arapahoe, CO","COLORADO",0,48.9416666666667,1.435,586147,49996.9440766018,5119188,4.38942742903645
"92","08007","Archuleta, CO","COLORADO",0,43.5083333333333,1.70666666666667,11944,49996.9440766018,5119188,4.38942742903645
"93","08009","Baca, CO","COLORADO",0,54.5333333333333,0.8275,3770,49996.9440766018,5119188,4.38942742903645
"94","08013","Boulder, CO*","COLORADO",0,44.375,1.955,300434,49996.9440766018,5119188,4.38942742903645
"95","08015","Chaffee, CO","COLORADO",0,37.875,1.2775,17915,49996.9440766018,5119188,4.38942742903645
